title,description,link,published
Ate: Policía detiene a un hombre por presuntamente realizar propuestas sexuales a una niña de 11 años,"El hombre de 29 años fue arrestado en su propia su casa esta madrugada. Según el coronel Johnny Huaman, jefe de Divincri, se investiga que esta persona supuestamente tenga en su poder material de pornografía infantil.",https://rpp.pe/peru/la-libertad/ate-policia-detiene-a-un-hombre-por-presuntamente-realizar-propuestas-sexuales-a-una-nina-de-11-anos-noticia-1660509,"Wed, 22 Oct 2025 15:39:21 -0500"
Gabinete de Ernesto Álvarez se presenta ante el Pleno del Congreso para solicitar el voto de confianza,El premier Ernesto Álvarez se presenta a fin de exponer las políticas del&nbsp;Gobierno y plantear la cuestión de confianza al Gabinete.,https://rpp.pe/politica/gobierno/gabinete-de-ernesto-alvarez-se-presenta-ante-el-pleno-del-congreso-esta-tarde-para-solicitar-el-voto-de-confianza-live-3014,"Wed, 22 Oct 2025 15:37:36 -0500"
LDU Quito vs. Palmeiras: ¿a qué hora juegan y dónde ver el partido por ida semifinales de la Copa Libertadores?,Consulta todos los detalles de lo que será el duelo de LDU Quito ante Palmeiras en territorio ecuatoriano.,https://rpp.pe/futbol/copa-libertadores/ldu-quito-vs-palmeiras-en-vivo-a-que-hora-juegan-en-ecuador-y-donde-ver-semifinal-copa-libertadores-2025-via-espn-partidos-de-hoy-noticia-1660512,"Wed, 22 Oct 2025 15:33:45 -0500"
"Voto digital: desde este 29 de octubre inicia el registro, según la ONPE",El registro para el voto digital inicia el 29 de octubre. ¿Tienes DNI electrónico? ¿Sabes si puedes votar digitalmente? En esta nota te contamos todo lo que debes saber para inscribirte.,https://rpp.pe/politica/elecciones/voto-digital-desde-este-29-de-octubre-inicia-el-registro-segun-la-onpe-noticia-1660448,"Wed, 22 Oct 2025 08:45:05 -0500"
"Agua Marina se retira temporalmente los escenarios, según integrante: “Es triste porque la música es nuestra vida”",El cantante Lucho Granda señaló que la decisión busca proteger su salud emocional luego del ataque sufrido por la agrupación en medio de un concierto.,https://rpp.pe/musica/nacional/agua-marina-se-retira-temporalmente-los-escenarios-segun-integrante-noticia-1660461,"Wed, 22 Oct 2025 11:59:24 -0500"
"Latin Billboard 2025: fecha, hora y dónde ver los Premios Billboard de la Música Latina en vivo","Bad Bunny lidera las nominaciones en 27 categorías, seguido por Fuerza Regida y Rauw Alejandro. Te contamos cuándo, dónde y cómo ver la premiación más esperada de la música latina.",https://rpp.pe/musica/internacional/latin-billboard-2025-en-vivo-a-que-hora-inicia-lista-de-nominados-y-donde-ver-premios-billboard-de-la-musica-latina-via-telemundo-bad-bunny-noticia-1660507,"Wed, 22 Oct 2025 15:21:44 -0500"
Precio del dólar Perú y tipo de cambio hoy 22 de octubre del 2025,"En Perú, el tipo de cambio para hoy miércoles 22 de octubre es de  S/3.41 según el Banco Central de Reserva Del Perú.",https://rpp.pe/economia/economia/precio-del-dolar-peru-y-tipo-de-cambio-hoy-22-de-octubre-del-2025-noticia-1660395,"Wed, 22 Oct 2025 06:05:39 -0500"
"Temblor en Perú, hoy 22 de octubre: magnitud y epicentro del sismo según IGP","Actualización EN VIVO del último sismo en Perú hoy, miércoles 22 de octubre según las últimas actualizaciones del Instituto Geofísico del Perú IGP",https://rpp.pe/lima/desastres-naturales/temblor-en-peru-hoy-22-de-octubre-magnitud-y-epicentro-del-sismo-segun-igp-live-3012,"Wed, 22 Oct 2025 02:18:58 -0500"
Alcalde de La Victoria respalda estado de emergencia en Lima y Callao: “Era impostergable”,"En Ampliación de Noticias, Rubén Cano consideró que la declaratoria de estado de emergencia en Lima y Callao era ""impostergable"" ante los altos índices de criminalidad.",https://rpp.pe/videos/ampliacion-de-noticias/alcalde-de-la-victoria-respalda-estado-de-emergencia-en-lima-y-callao-era-impostergable-noticia-1660511,"Wed, 22 Oct 2025 14:55:42 -0500"
¿Será necesario prorrogar el estado de emergencia? Esto opina el alcalde de La Victoria,"En Ampliación de Noticias, Rubén Cano consideró que la declaratoria de estado de emergencia en Lima y Callao era ""impostergable"" ante los altos índices de criminalidad.",https://rpp.pe/lima/seguridad/estado-de-emergencia-esto-opina-el-alcalde-de-la-victoria-noticia-1660457,"Wed, 22 Oct 2025 13:34:50 -0500"
Sentencian a 21 años de prisión a sicario venezolano que asesinó a un obrero en Comas,"El asesino pudo ser identificado, en parte, gracias a la participación de un testigo protegido durante el proceso, informó el Ministerio Público.",https://rpp.pe/lima/policiales/comas-sentencian-a-21-anos-a-sicario-venezolano-que-asesino-a-obrero-noticia-1660510,"Wed, 22 Oct 2025 14:50:19 -0500"
Consejo Fiscal pide que el TC revise las más de 200 leyes aprobadas por el Congreso que comprometen la estabilidad fiscal,"Alonso Segura alerta sobre la ""avalancha enorme"" de gasto, cifrada en S/ 36,000 millones, y advierte que el país podría perder el grado de inversión si no se detiene la trayectoria actual.",https://rpp.pe/economia/economia/consejo-fiscal-pide-que-el-tc-revise-las-mas-de-200-leyes-aprobadas-por-el-congreso-que-comprometen-la-estabilidad-fiscal-noticia-1660497,"Wed, 22 Oct 2025 10:15:26 -0500"
Shakira en Lima: Francisca Aronsson será parte de 'Camina con la loba' junto a la streamer Zully,"""Agradecida por esta oportunidad"", dijo Francisca Aronsson al anunciar que acompañará a Shakira en su concierto en el estadio Nacional. Zully y Susy Díaz también estará en el evento.",https://rpp.pe/famosos/farandula/shakira-en-lima-francisca-aronsson-sera-parte-de-camina-con-la-loba-con-streamer-zully-y-susy-diaz-noticia-1660505,"Wed, 22 Oct 2025 14:46:11 -0500"
Sporting Cristal va por el golpe: la alineación que alista Autuori para recibir a Universitario,Sporting Cristal no se guarda nada para jugar contra Universitario en el Nacional por el Torneo Clausura 2025.,https://rpp.pe/futbol/descentralizado/sporting-cristal-vs-universitario-alineacion-rimense-con-luis-abram-en-estadio-nacional-por-torneo-clausura-2025-fotos-noticia-1660506,"Wed, 22 Oct 2025 14:45:13 -0500"
"Eric del Castillo llama ""traidor"" a Sean Penn por el escándalo que involucró a su hija Kate y a 'El Chapo' Guzmán","Casi una década después del escándalo, el padre de la protagonista de La reina del sur aseguró que Sean Penn ""puso en peligro"" a su hija por la entrevista que tuvo con el narcotraficante.",https://rpp.pe/famosos/celebridades/eric-del-castillo-arremete-contra-sean-penn-por-traicionar-a-su-hija-kate-del-castillo-tras-reunion-con-el-chapo-guzman-noticia-1660499,"Wed, 22 Oct 2025 14:42:03 -0500"
Copa Libertadores: Liga de Quito y Palmeiras se ven las caras por la primera semifinal,Palmeiras se mide ante Liga de Quito en el estadio la Casa Blanca mañana a las 19:30 horas. El partido será supervisado por Facundo Tello Figueroa.,https://rpp.pe/futbol/ligas-internacionales/copa-libertadores-liga-de-quito-y-palmeiras-se-ven-las-caras-por-la-primera-semifinal-noticia-1660508,"Wed, 22 Oct 2025 14:39:40 -0500"
Universitario vs. Sporting Cristal EN VIVO: partidazo en el Nacional por la fecha 14 del Torneo Clausura 2025,Sporting Cristal recibe a Universitario en un partido vital para ambos por una jornada pendiente de la Liga1 Te Apuesto.,https://rpp.pe/futbol/descentralizado/universitario-vs-sporting-cristal-ver-l1-max-transmision-gratis-desde-tu-celular-fecha-14-torneo-clausura-2025-link-stream-partidos-de-hoy-noticia-1660460,"Wed, 22 Oct 2025 14:24:08 -0500"
